n,surface,freq,harmony,final_class,reason
282,презентация,103,mixed,unknown,russian-loan-suffix
1194,проректор,29,mixed,liquid,russian-loan-suffix
937,просмотров,36,back,voiced_consonant,russian-loan-suffix
1251,пруссия,28,neutral (only и/у/ю — needs context),unknown,russian-loan-suffix
1518,публицист,23,neutral (only и/у/ю — needs context),voiceless_consonant,russian-loan-suffix
1681,радиация,21,back,unknown,russian-loan-suffix
245,радио,120,back,vowel,russian-loan-prefix
1588,радиобайланыс,22,back,voiceless_consonant,russian-loan-prefix
334,радиосы,88,back,vowel,russian-loan-prefix
1292,радиосының,27,back,nasal,russian-loan-prefix
1447,реактор,24,mixed,liquid,russian-loan-suffix
360,революция,85,mixed,unknown,russian-loan-suffix
1771,резервiне,20,front,vowel,contains-latin
1448,ректор,24,mixed,liquid,russian-loan-suffix
1595,секреция,22,front,unknown,russian-loan-suffix
361,сектор,85,mixed,liquid,russian-loan-suffix
1995,сәуiр,17,front,liquid,contains-latin
1541,тiкелей,22,front,glide,contains-latin
1460,тiлi,24,unknown (no vowels),unknown,contains-latin
1782,тiркеу,20,front,vowel,contains-latin
1786,терроризм,20,mixed,nasal,russian-loan-suffix
82,техника,276,mixed,vowel,russian-loan-suffix
227,технология,129,mixed,unknown,russian-loan-suffix
1039,тиiс,33,neutral (only и/у/ю — needs context),voiceless_consonant,contains-latin
1040,тиiстi,33,neutral (only и/у/ю — needs context),unknown,contains-latin
1304,трактор,27,back,liquid,russian-loan-suffix
1902,транскрипт,19,back,voiceless_consonant,russian-loan-prefix
882,транспорт,38,back,voiceless_consonant,russian-loan-prefix
1041,трансферттер,33,mixed,liquid,russian-loan-prefix
1531,трансформатор,23,back,liquid,russian-loan-suffix
1701,трансформатордың,21,back,nasal,russian-loan-prefix
539,трлн,60,unknown (no vowels),nasal,abbreviation
669,уәкiлеттi,49,front,unknown,contains-latin
1206,федерация,29,mixed,unknown,russian-loan-suffix
389,филология,80,back,unknown,russian-loan-suffix
114,франция,228,back,unknown,russian-loan-suffix
1910,хакасия,19,back,unknown,russian-loan-suffix
1998,шiлде,17,front,vowel,contains-latin
855,швеция,39,front,unknown,russian-loan-suffix
1083,экономист,32,back,voiceless_consonant,russian-loan-suffix
50,электр,401,front,liquid,russian-loan-prefix
171,электрмагниттік,161,mixed,voiceless_consonant,russian-loan-prefix
239,энергетика,123,mixed,vowel,russian-loan-suffix
1210,этика,29,back,vowel,russian-loan-suffix
1540,этнография,23,back,unknown,russian-loan-suffix
423,үкiмет,74,front,voiceless_consonant,contains-latin
800,әлеуметтiк,42,front,voiceless_consonant,contains-latin
1620,әрi,22,front,unknown,contains-latin
1801,өзiнiң,20,front,nasal,contains-latin
1542,өзiнөзi,23,front,unknown,contains-latin
1429,өкiлеттiгiн,24,front,nasal,contains-latin
1960,өтiнiштерiн,18,front,nasal,contains-latin
364,өткiздi,85,front,unknown,contains-latin
919,өткiзу,37,front,vowel,contains-latin
